station_name,operating_agency,city_or_region,source_document,notes
"DTU, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"ITO, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"IHBAS, Dilshad Garden, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"NSIT Dwarka, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Shadipur, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Siri Fort, New Delhi",CPCB,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Alipur,DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Anand Vihar, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Ashok Vihar, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Bawana,DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Dr. Karni Singh Shooting Range, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Dwarka-Sector 8, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Mundaka,DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Jahangirpuri, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Jawaharlal Nehru Stadium, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Major Dhyan Chand National Stadium, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"MandirMarg, New Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Najafgarh, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Narela, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Nehru Nagar, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Okhla Phase-2, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Patparganj, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Punjabi Bagh, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Pusa, DPCC Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"R K Puram, New Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Rohini, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Sonia Vihar, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Sri AurobindoMarg,DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"VivekVihar, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Wazirpur, Delhi",DPCC,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Aya Nagar, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Burari Crossing, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"CRRI Mathura Road, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"IGI Airport Terminal - 3, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Lodhi Road, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"North Campus, DU, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
"Pusa, New Delhi",IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Pitampura,IMD,Delhi,"cpcb_caaqms_list_delhi_ncr.pdf, page 1",Coordinates not present in source document - missing
Arya Nagar,HSPCB,"Bahadurgarh, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Nathu Colony,HSPCB,"Ballabgarh, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
H.B. Colony,HSPCB,"Bhiwani, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Municipal Corporation Office,HSPCB,"Dharuhera, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Mini Secretariat,HSPCB,"Charkhi Dadri, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector- 16A,HSPCB,"Faridabad, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector 11,HSPCB,"Faridabad, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector 30,HSPCB,"Faridabad, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector- 16A,HSPCB,"Faridabad, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Police Lines,HSPCB,"Jind, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector-12,HSPCB,"Karnal, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector-7,HSPCB,"Mandikhera, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector-2 IMT,HSPCB,"Manesar, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Shastri Nagar,HSPCB,"Narnaul, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Shyam Nagar,HSPCB,"Palwal, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector-18,HSPCB,"Panipat, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
MD University,HSPCB,"Rohtak, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
"Murthal, Sonipat",HSPCB,"Sonipat, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Vikas Sadan,HSPCB,"Gurugram, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sector-51,HSPCB,"Gurugram, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Teri Gram,HSPCB,"Gurugram, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
NISE Gwal Pahari,IMD,"Gurugram, Haryana","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
New Collectorate,UPPCB,"Baghpat, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Yammunapuram,UPPCB,"Bulandsahar, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Indirapuram,UPPCB,"Ghaziabad, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Loni,UPPCB,"Ghaziabad, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Sanjay Nagar,UPPCB,"Ghaziabad, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
"Vasundhara,",UPPCB,"Ghaziabad, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Knowledge Park-III,UPPCB,"Greater Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
KnowledgePark V,UPPCB,"Greater Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Anand Vihar,UPPCB,"Hapur, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Ganga Nagar,UPPCB,"Meerut, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Jai Bhim Nagar,UPPCB,"Meerut, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Pallavpuram Phase 2,UPPCB,"Meerut, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
New Mandi,UPPCB,"Muzzafar Nagar, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Noida-Sec 125,UPPCB,"Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Noida- Sec 1,UPPCB,"Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Noida-Sec 116,UPPCB,"Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
Noida-62,IMD,"Noida, Uttar Pradesh","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
MotiDoongri,RSPCB,"Alwar, Rajasthan","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
RIICO Industrial Area-III,RSPCB,"Bhiwadi, Rajasthan","cpcb_caaqms_list_delhi_ncr.pdf, page 2",Coordinates not present in source document - missing
